localidad,departamento
22 DE DICIEMBRE,Obera
9 DE JULIO,Eldorado
9 DE JULIO KILOMETRO 20,Eldorado
ALBA POSSE,25 de Mayo
ALMIRANTE BROWN,Cainguas
ALTE BROWN,Cainguas
APOSTOLES,Apostoles
ARISTOBULO DEL VALLE,Cainguas
ARROYO DEL MEDIO,L. N. Alem
ARROYO MARTIRES,Candelaria
AZARA,Apostoles
BARRA BONITA,San Javier
BARRA CONCEPCION,Concepcion
BARRANCON (MONTECARLO),Montecarlo
BARRANCON SAN IGNACIO,San Ignacio
BARRIO SANTA LUCIA,Capital
BAYO TRONCHO,Obera
BERNARDO DE IRIGOYEN,G. M. Belgrano
BONPLAND,Candelaria
CABURE I,L. N. Alem
CAMPO GRANDE,Cainguas
CAMPO RAMON,Obera
CAMPO VIERA,Obera
CANDELARIA,Candelaria
CAPIOVY,L.G. San Martin
CATARATAS DEL IGUAZU,Iguazu
CERRO AZUL,L. N. Alem
CERRO CORA,Candelaria
COLONIA  MARIA MAGDALENA,Eldorado
COLONIA 25 DE MAYO,25 de Mayo
COLONIA ALBERDI,Obera
COLONIA ALICIA,25 de Mayo
COLONIA AURORA,25 de Mayo
COLONIA CARAGUATAY,Montecarlo
COLONIA DOMINGO SAVIO,San Ignacio
COLONIA EL ALCAZAR,Montecarlo
COLONIA GARUHAPE,L.G. San Martin
COLONIA GUARANI,Obera
COLONIA MARIA MAGDALENA,Eldorado
COLONIA MARTIRES,Candelaria
COLONIA POLANA,San Ignacio
COLONIA SANTA MARIA,Concepcion
COLONIA WANDA,Iguazu
COLONIA YABEBIRY,San Ignacio
COLONIA YACUTINGA,L. N. Alem
COLONIA ÑACANGUAZU,San Ignacio
COMANDANTE ANDRESITO,G. M. Belgrano
CONCEPCION DE LA SIERRA,Concepcion
CORPUS,San Ignacio
DOS ARROYOS,L. N. Alem
DOS DE MAYO,Cainguas
EL SOBERBIO,Guarani
ELDORADO,Eldorado
ELDORADO SUCURSAL NUMERO 1,Eldorado
F. AMEGHINO,San Javier
FACHINAL,San Javier
FLORENTINO AMEGHINO,San Javier
FRACRAN,Guarani
GARUHAPE,L.G. San Martin
GARUPA,Capital
GENERAL ALVEAR,Obera
GENERAL ROCA,San Ignacio
GOBERNADOR LOPEZ,L. N. Alem
GOBERNADOR ROCA,San Ignacio
GUARANI,Obera
HIPOLITO YRIGOYEN,San Ignacio
IGUAZU,Iguazu
ITACARUARE,San Javier
ITAIME MINI,Capital
JARDIN AMERICA,San Ignacio
LEANDRO N. ALEM,L. N. Alem
LIBERTAD,Iguazu
LORETO,Candelaria
LOS HELECHOS,Obera
MIGUEL LANUS,Capital
MOJON GRANDE,San Javier
MONTECARLO,Montecarlo
MUNICIPIO COL A,Guarani
OASIS,San Ignacio
OBERA,Obera
OLEGARIO V. ANDRADE,L. N. Alem
PANAMBI,Obera
PARADA LEIS,Candelaria
PARANAY,Montecarlo
PICADA YAPEYU,Obera
PINDAPOY,Apostoles
PLAYADITO,San Javier
POSADAS,Capital
PROFUNDIDAD,Candelaria
PTO.CONCEPCION,Concepcion
PUERTO ALCAZAR,Montecarlo
PUERTO BOSSETTI,Iguazu
PUERTO DELICIA,Eldorado
PUERTO ESPERANZA,Iguazu
PUERTO GISELA,San Ignacio
PUERTO IGUAZU,Iguazu
PUERTO LEONI,San Ignacio
PUERTO LIBERTAD,Iguazu
PUERTO PINARES,Eldorado
PUERTO PIRAY,Montecarlo
PUERTO RICO,L.G. San Martin
PUERTO S.MARTIN,25 de Mayo
PUERTO VICTORIA,Eldorado
RUIZ DE MONTOYA,L.G. San Martin
SALTO ENCANTADO,Cainguas
SAN ALBERTO,L.G. San Martin
SAN ANTONIO,G. M. Belgrano
SAN FRANCISCO DE ASIS,25 de Mayo
SAN IGNACIO,San Ignacio
SAN ISIDRO,Capital
SAN JAVIER,San Javier
SAN JOSE,Apostoles
SAN MARTIN,25 de Mayo
SAN PEDRO,San Pedro
SAN VICENTE,Guarani
SANTA ANA,Candelaria
SANTA INES,Capital
SANTA RITA,25 de Mayo
SANTIAGO DE LINIERS,Eldorado
SANTO PIPO,San Ignacio
TRES CAPONES,Apostoles
VILLA BONITA,Obera
VILLA SVEA,Obera
VILLALONGA,Capital
