era,form,n_known,n_active,active_share_%
Pre-1990,SRL,953,101,10.6
Pre-1990,SA,502,157,31.3
Pre-1990,Coop,76,56,73.7
Pre-1990,Asoc,593,381,64.2
Pre-1990,Fund,12,7,58.3
Pre-1990,Otra,182,29,15.9
Menem,SRL,1803,237,13.1
Menem,SA,362,129,35.6
Menem,Coop,99,29,29.3
Menem,Asoc,584,227,38.9
Menem,Fund,57,23,40.4
Menem,Otra,37,7,18.9
Crisis,SRL,483,134,27.7
Crisis,SA,130,71,54.6
Crisis,Coop,36,7,19.4
Crisis,Asoc,271,96,35.4
Crisis,Fund,19,11,57.9
Crisis,Otra,11,3,27.3
N.Kirchner,SRL,1032,418,40.5
N.Kirchner,SA,267,155,58.1
N.Kirchner,Coop,298,78,26.2
N.Kirchner,Asoc,590,203,34.4
N.Kirchner,Fund,46,22,47.8
N.Kirchner,Otra,12,8,66.7
C.Kirchner,SAS,1,1,100.0
C.Kirchner,SRL,1265,719,56.8
C.Kirchner,SA,206,137,66.5
C.Kirchner,Coop,385,160,41.6
C.Kirchner,Asoc,591,306,51.8
C.Kirchner,Fund,174,130,74.7
C.Kirchner,Otra,34,25,73.5
Macri,SAS,71,60,84.5
Macri,SRL,372,294,79.0
Macri,SA,52,47,90.4
Macri,Coop,35,35,100.0
Macri,Asoc,160,149,93.1
Macri,Fund,110,104,94.5
Macri,Otra,71,59,83.1
Fernández,SAS,287,251,87.5
Fernández,SRL,364,327,89.8
Fernández,SA,59,47,79.7
Fernández,Coop,370,347,93.8
Fernández,Asoc,178,167,93.8
Fernández,Fund,161,158,98.1
Fernández,Otra,33,32,97.0
Milei,SAS,195,192,98.5
Milei,SRL,136,136,100.0
Milei,SA,27,26,96.3
Milei,Coop,18,18,100.0
Milei,Asoc,14,14,100.0
Milei,Fund,47,46,97.9
Milei,Otra,7,7,100.0
